timestep,is_occluded,num_segments,occluded_ranges_deg,segments_start_idx_end_idx,segments_stability
0,0,0,,,
1,1,4,30.0–38.0; 64.0–85.0; 97.0–110.0; 119.0–131.0,210-218; 244-265; 277-290; 299-311,0.90; 1.00; 1.00; 0.86
2,1,4,30.0–37.0; 64.0–84.0; 96.0–110.0; 119.0–131.0,210-217; 244-264; 276-290; 299-311,0.84; 0.95; 0.93; 0.93
3,1,4,30.0–37.0; 63.0–84.0; 96.0–110.0; 119.0–131.0,210-217; 243-264; 276-290; 299-311,0.90; 0.93; 0.96; 0.95
4,1,4,29.0–37.0; 63.0–84.0; 96.0–109.0; 119.0–131.0,209-217; 243-264; 276-289; 299-311,0.87; 0.95; 0.90; 0.96
5,1,4,29.0–37.0; 63.0–84.0; 95.0–109.0; 118.0–131.0,209-217; 243-264; 275-289; 298-311,0.90; 0.96; 0.86; 0.90
6,1,4,28.0–36.0; 63.0–83.0; 95.0–109.0; 118.0–130.0,208-216; 243-263; 275-289; 298-310,0.73; 0.92; 0.88; 0.85
7,1,4,28.0–36.0; 63.0–83.0; 95.0–109.0; 118.0–130.0,208-216; 243-263; 275-289; 298-310,0.77; 0.93; 0.90; 0.87
8,1,4,28.0–36.0; 63.0–83.0; 95.0–108.0; 118.0–130.0,208-216; 243-263; 275-288; 298-310,0.80; 0.94; 0.85; 0.89
9,1,4,28.0–35.0; 63.0–83.0; 95.0–108.0; 117.0–130.0,208-215; 243-263; 275-288; 297-310,0.72; 0.95; 0.87; 0.84
10,1,4,28.0–35.0; 62.0–83.0; 94.0–108.0; 117.0–130.0,208-215; 242-263; 274-288; 297-310,0.74; 0.91; 0.82; 0.85
11,1,3,62.0–82.0; 94.0–108.0; 117.0–130.0,242-262; 274-288; 297-310,0.87; 0.84; 0.87
12,1,4,28.0–35.0; 62.0–82.0; 94.0–107.0; 116.0–130.0,208-215; 242-262; 274-287; 296-310,0.78; 0.88; 0.79; 0.79
13,1,4,27.0–35.0; 62.0–82.0; 94.0–107.0; 116.0–129.0,207-215; 242-262; 274-287; 296-309,0.73; 0.89; 0.81; 0.75
14,1,3,62.0–82.0; 94.0–107.0; 116.0–129.0,242-262; 274-287; 296-309,0.90; 0.82; 0.77
15,1,3,62.0–82.0; 93.0–107.0; 116.0–129.0,242-262; 273-287; 296-309,0.91; 0.74; 0.78
16,1,2,62.0–81.0; 116.0–129.0,242-261; 296-309,0.82; 0.80
17,1,2,62.0–81.0; 116.0–129.0,242-261; 296-309,0.83; 0.81
18,1,2,62.0–81.0; 116.0–129.0,242-261; 296-309,0.84; 0.82
19,1,3,62.0–81.0; 93.0–106.0; 115.0–129.0,242-261; 273-286; 295-309,0.85; 0.72; 0.71
20,1,2,62.0–81.0; 115.0–129.0,242-261; 295-309,0.86; 0.72
21,1,2,62.0–80.0; 115.0–129.0,242-260; 295-309,0.75; 0.74
22,1,1,62.0–80.0,242-260,0.76
23,1,2,62.0–80.0; 115.0–128.0,242-260; 295-308,0.77; 0.70
24,1,1,62.0–80.0,242-260,0.78
25,1,1,62.0–80.0,242-260,0.79
26,1,1,61.0–80.0,241-260,0.76
27,0,0,,,
28,0,0,,,
29,0,0,,,
30,0,0,,,
31,1,1,61.0–79.0,241-259,0.71
32,1,1,61.0–79.0,241-259,0.74
33,1,1,61.0–79.0,241-259,0.76
34,1,1,61.0–79.0,241-259,0.78
35,0,0,,,
36,1,1,61.0–78.0,241-258,0.72
37,1,1,62.0–78.0,242-258,0.74
38,1,1,62.0–78.0,242-258,0.76
39,1,1,62.0–78.0,242-258,0.78
40,1,1,62.0–78.0,242-258,0.80
41,1,1,62.0–78.0,242-258,0.82
42,1,1,62.0–78.0,242-258,0.84
43,1,2,62.0–78.0; 90.0–102.0,242-258; 270-282,0.86; 0.71
44,1,3,62.0–77.0; 90.0–102.0; 111.0–127.0,242-257; 270-282; 291-307,0.76; 0.73; 0.72
45,1,2,62.0–77.0; 90.0–102.0,242-257; 270-282,0.78; 0.76
46,1,2,62.0–77.0; 111.0–126.0,242-257; 291-306,0.80; 0.71
47,1,2,62.0–77.0; 111.0–126.0,242-257; 291-306,0.82; 0.74
48,1,3,62.0–77.0; 90.0–101.0; 111.0–126.0,242-257; 270-281; 291-306,0.84; 0.70; 0.76
49,1,3,62.0–77.0; 90.0–101.0; 111.0–126.0,242-257; 270-281; 291-306,0.86; 0.73; 0.78
50,1,3,62.0–77.0; 90.0–101.0; 111.0–126.0,242-257; 270-281; 291-306,0.88; 0.75; 0.81
51,1,3,63.0–77.0; 90.0–101.0; 111.0–126.0,243-257; 270-281; 291-306,0.85; 0.78; 0.83
52,1,3,63.0–77.0; 90.0–101.0; 111.0–126.0,243-257; 270-281; 291-306,0.85; 0.80; 0.85
53,1,3,63.0–77.0; 90.0–101.0; 111.0–126.0,243-257; 270-281; 291-306,0.86; 0.82; 0.88
54,1,3,63.0–77.0; 90.0–101.0; 111.0–126.0,243-257; 270-281; 291-306,0.87; 0.84; 0.90
